"","model_name","n_params","model_length","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN","AIC"
"1","PC2",1,990,0.460154782319156,0.532982538802817,0.387327025835494,0.488256246677299,0.273787237973736,0.702725255380863,0.511743753322701,0.734039385590396,0.285744034552311,422.773145412899
"2","PC4",1,4,0.433170391061452,0.505601418124609,0.360739363998296,0.378947368421053,0.16624800224422,0.591646734597885,0.621052631578947,0.824640550460311,0.379532654242265,421.734266692334
"3","PC1",1,6,0.597766259027045,0.669383245662895,0.526149272391195,0.533771929824561,0.317941018793383,0.74960284085574,0.466228070175439,0.696839535929442,0.246141371392857,433.296267636852
"4","PC1 PC2",2,996,0.34083834127103,0.410238482560626,0.271438199981433,0.343925702811245,0.139377483428493,0.548473922193997,0.656074297188755,0.846983505606022,0.416033577789535,336.742171628501
"5","PC2 PC4",2,4,0.360738671632526,0.430945081973428,0.290532261291625,0.366447368421053,0.154580250488867,0.578314486353238,0.633552631578947,0.834487509472965,0.390848767809,375.388390624727
"6","PC1 PC2 PC4",3,986,0.33070200768071,0.399587437450148,0.261816577911271,0.33483505925056,0.132126929159129,0.537543189341992,0.66516494074944,0.853009741785644,0.425233225976692,315.967748462252
"7","PC1 PC2 PC3",3,6,0.32241221194682,0.390864436448464,0.253959987445176,0.305701754385965,0.105594605270218,0.505808903501712,0.694298245614035,0.875330943138778,0.452177004832073,311.395545461284
"8","PC1 PC2 PC5",3,8,0.306239580330004,0.373854132792133,0.238625027867874,0.345394736842105,0.141476719009196,0.549312754675015,0.654605263157895,0.845200366067522,0.415664614645101,302.163145895802
"9","PC1 PC2 PC3 PC4",4,916,0.329236478284987,0.398026206474784,0.260446750095191,0.33773845093082,0.134460184515627,0.541016717346014,0.662261549069179,0.851073037961668,0.422299758649134,309.090360068665
"10","PC1 PC2 PC4 PC5",4,82,0.307112860941992,0.374632606100993,0.23959311578299,0.314955070603338,0.11617328225291,0.513736858953765,0.685044929396662,0.86628351254213,0.445452857399049,290.501946700202
"11","PC1 PC2 PC3 PC5",4,2,0.252808988764045,0.316658583528786,0.188959393999303,0.375,0.16312580659125,0.58687419340875,0.625,0.827450367245076,0.384177026387331,261.479074975913
"12","PC1 PC2 PC3 PC4 PC5",5,976,0.312343966764574,0.38011906825361,0.244568865275538,0.320489106988783,0.120172127868879,0.520806086108688,0.679510893011217,0.862979582502437,0.439371794722511,302.458379865591
